gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
C12orf43,-0.01217996651348912,-0.4150442682893802,0.6781861810883891,0.039098047,0.054514065,0.9479594411713819,60
SLC24A1,-0.012179346644963888,-0.4150231425294864,0.6782016416471104,0.16613984,0.18071297,0.9479594411713819,60
LIX1L,-0.012178641780497006,-0.4149991200206504,0.6782192223113059,-0.019863378,-0.008206527,0.9479594411713819,60
FABP7,-0.012175423309362072,-0.4148894312090158,0.6782994993429624,0.21963218,0.21499507,0.9479594411713819,60
IL17D,-0.012166761294166105,-0.4145942208724246,0.6785155706172062,-0.00022490944,0.0015627537,0.9479594411713819,60
ZNF256,-0.012161305606751086,-0.41440828551366293,0.6786516745925663,0.2001455,0.21178156,0.9479594411713819,60
DDX39A,-0.012154511689035386,-0.41417674196113463,0.6788211782642268,-0.053407077,-0.039880794,0.9479594411713819,60
SLC30A4,-0.012152776578887853,-0.41411760767044853,0.6788644706953273,0.20406651,0.20025647,0.9479594411713819,60
NPSR1,-0.012150260725511827,-0.41403186487565086,0.6789272451942714,0.2800652,0.28733763,0.9479594411713819,60
CLTCL1,-0.012149394595538906,-0.41400234630327865,0.6789488570141708,-0.012474936,0.011288796,0.9479594411713819,60
TYMP,-0.012146837847371262,-0.4139152097839627,0.6790126549595418,0.10856769,0.10441212,0.9479594411713819,60
KLHL9,-0.01214645327284435,-0.4139021031024675,0.6790222513574423,0.2690933,0.26686049,0.9479594411713819,60
PAX4,-0.012141095721652721,-0.4137195124605971,0.6791559452646267,0.15788025,0.16065128,0.947986398022327,60
CCBE1,-0.012138765375027982,-0.4136400919546262,0.6792141005655244,0.17152111,0.1755367,0.947986398022327,60
LPAR1,-0.01213690226666128,-0.41357659539308844,0.6792605970065383,0.16103344,0.16336323,0.947986398022327,60
DCUN1D2,-0.012130610958366324,-0.41336218146412007,0.6794176142945746,0.2133001,0.21216147,0.9480638411515634,60
CILP,-0.012123702934257774,-0.41312674931466975,0.6795900394599862,0.09061574,0.1121621,0.9481616489408977,60
ZDHHC20,-0.012110268858571808,-0.4126689031787941,0.6799254036322633,0.06058582,0.068817146,0.9484359493911277,60
IQCK,-0.012109676760321816,-0.41264872390981794,0.6799401860483045,0.16722721,0.18193902,0.9484359493911277,60
PBX1,-0.012098517017299935,-0.41226838938243093,0.6802188248853706,0.14645399,0.16053393,0.9485104771808687,60
HRC,-0.012089808440595796,-0.4119715930131976,0.6804362927777904,0.24068151,0.24837874,0.9485104771808687,60
