gene,t,p,fdr,eff_flag,eff_rest
LCE5A,-1.0030543504924074,0.3160409793559075,0.8912192586375755,-0.14538677,-0.13696596
LCE6A,0.7036502116878063,0.4817899239919237,0.9267168998928006,0.004502915,-0.0022855063
LCK,1.1623467965055514,0.2453304526183535,0.8554437606017354,0.16812159,0.15904866
LCLAT1,1.4563657144098339,0.14555847141888928,0.7757974974501427,0.2873407,0.27210382
LCMT1,0.244488582926675,0.8068950930017199,0.9838819966941742,-0.24461246,-0.22550276
LCMT2,-0.18422148113991488,0.85387146909406,0.9873039265087746,0.030255018,0.030568115
LCN1,1.621957647579663,0.10508046101833166,0.7242035016557296,0.01691708,0.002345125
LCN10,-0.9994269442188065,0.317793508538719,0.8912192586375755,-0.1054957,-0.09618001
LCN12,-1.3999952441341832,0.16177849382516613,0.7912411347948716,0.23892507,0.25205132
LCN15,-0.5723883319274968,0.5671683233903175,0.9476328735682964,-0.04317123,-0.031456493
LCN2,-2.0833093708492214,0.03743859870886421,0.5787809981221754,0.07431656,0.09656135
LCN6,-0.17757835051509385,0.8590847090702574,0.9873039265087746,-0.08502392,-0.07719259
LCN8,-1.3779156701684179,0.16849145406727772,0.7980302909279994,-0.08704434,-0.07411221
LCN9,-0.03268556219096302,0.9739308838812809,0.9975879188266312,0.16594353,0.16875567
LCNL1,-1.403940733066106,0.16060051768964387,0.7896227628832025,0.10685632,0.11818973
LCOR,-0.6729773198204767,0.5010939392328329,0.9330558468572776,0.15182894,0.1550787
LCORL,0.703136764703168,0.48210969442707935,0.9267168998928006,0.29694703,0.2890081
LCP1,-0.8205742916211214,0.4120550922310759,0.9114807153724154,0.17897123,0.17822766
LCP2,-0.5511787653458274,0.5816158351163554,0.9523866695836402,0.17024635,0.17201102
LCT,0.41951588567323206,0.6749157698959795,0.9688664303087403,0.08270298,0.07440943
LCTL,-1.4426833410183324,0.14937597698636584,0.7791672998529928,0.13400063,0.14407153
LDAF1,-0.48747281633824335,0.6260141589626114,0.9621256952852877,0.20595574,0.20935772
LDAH,-0.16197968784026645,0.8713496744765779,0.9883531143802234,0.3074646,0.31147766
LDB1,0.5055635738971881,0.6132577996369157,0.9593227378717625,-0.025424916,-0.06806003
LDB2,0.5929113591821368,0.553354472570058,0.9457298691668431,0.21932635,0.21047604
LDB3,-0.23414287796180833,0.8149148141180684,0.9838819966941742,0.054213226,0.057891525
LDHA,-0.9142815840016865,0.3607563188307652,0.9013929465687409,-0.047820017,-0.033433646
LDHAL6A,0.5868879217792077,0.5573916273664178,0.9460441912946183,0.2722995,0.26518425
LDHAL6B,0.10795084634336394,0.9140530974240361,0.9904757021094086,0.23327193,0.22878352
LDHB,0.303216091657693,0.7617788167891891,0.9761229271386561,0.17245057,0.17254391
LDHC,0.11435766459774095,0.9089737931795152,0.9904757021094086,0.21260932,0.21578893
LDHD,0.412447552087027,0.6800865909844619,0.9688664303087403,0.114513636,0.111061186
LDLR,1.286569362894369,0.1984976375536248,0.8241984106944371,-0.03719512,-0.07629881
LDLRAD1,1.1140406038679698,0.2654894012383504,0.8689931801831599,0.034348074,0.02636972
LDLRAD2,0.9852580717424576,0.3246999818040594,0.8930949918463713,0.14253844,0.13553815
LDLRAD3,-2.1320698082744074,0.03320786011743998,0.5600422390911354,0.17597866,0.1964829
LDLRAD4,0.07055507622694333,0.9437638610660108,0.9933384265454387,0.24889946,0.24462007
LDLRAP1,1.14271522685304,0.2533894312817113,0.8612545031330506,0.15944727,0.12762396
LDOC1,-0.7482518220723283,0.45445788874193765,0.9238443939099373,0.14313489,0.15372747
