gene,mean_PTENdef,mean_PTENwt,diff,t,n_def,n_wt,p,fdr
MRPS30,-0.26022309471174543,-0.25989869117367803,-0.0003244035380673971,-0.015851870692651263,240,876,0.9873525667950146,0.9957245387782327
MRPS31,-0.3671175308536507,-0.36292427063732086,-0.004193260216329819,-0.1933527380275666,240,876,0.8466827265187296,0.9577588552109456
MRPS33,-0.008029008428819276,-0.014449933808346886,0.00642092537952761,0.41274674856201826,240,876,0.6797921702073422,0.9053836236921682
MRPS34,-0.5654498187900404,-0.5539834535483288,-0.011466365241711629,-0.40166117711689225,240,876,0.687933399889926,0.9081312013584523
MRPS35,-0.3489655320778881,-0.3639725316003332,0.015006999522445108,0.746767144096066,240,876,0.4552041315869556,0.8090029043830541
MRPS5,-0.6673690226410393,-0.6208197671311765,-0.046549255509862775,-2.0037108152144647,240,876,0.04510104706661701,0.3679570323094636
MRPS6,-0.45308956499863723,-0.46992590545327223,0.016836340454635,0.5985257313624264,240,876,0.5494891949865865,0.8537739161622311
MRPS7,-0.375313372458144,-0.38622458381948716,0.010911211361343154,0.6432590014231931,240,876,0.5200560544424654,0.8404993004788992
MRPS9,-0.3404795511593691,-0.33551651910838476,-0.004963032050984362,-0.2265134354849592,240,876,0.8208021107624928,0.9503923381960134
MRRF,0.1540113646110483,0.15693581617980149,-0.002924451568753178,-0.26801313086777845,240,876,0.7886892114058022,0.9419815751387083
MRS2,0.15991393346428026,0.1811918066765576,-0.021277873212277337,-1.677098357384015,240,876,0.09352324996718071,0.47429194688742937
MRTFA,0.013941936336125843,0.01224291646474086,0.0016990198713849828,0.156947340736297,240,876,0.8752863496382355,0.9658747668850036
MRTFB,0.22167097974275507,0.2114566386045222,0.010214341138232857,1.0310418408088575,240,876,0.302521199224867,0.7181130910655966
MRTO4,-0.8865828899623458,-0.9305777665772206,0.04399487661487478,1.534184512357501,240,876,0.12498426669672816,0.5307839457435349
MS4A1,0.2844208796163821,0.27045918878495867,0.013961690831423457,1.4553133620626488,240,876,0.14558252910495945,0.5619375887876732
MS4A10,0.07298621200776939,0.05804220665764076,0.01494400535012863,1.3358067376724048,240,876,0.18161245017237204,0.6061439444034201
MS4A12,0.2111382099615584,0.207530948033567,0.0036072619279914064,0.40528183925048744,240,876,0.68527035415727,0.9068886560580957
MS4A13,0.15218813357842292,0.14499842048875544,0.007189713089667482,0.6093020674004139,240,876,0.542324237004119,0.8502931883969157
MS4A14,0.2188189922582702,0.20955783132076267,0.009261160937507534,1.1149215309764424,240,876,0.2648840492143991,0.6863896316137438
MS4A15,-0.014367526065006929,-0.021093488451199193,0.006725962386192264,0.6121288896654349,240,876,0.5404524848987671,0.8491676378703084
MS4A2,0.153477272834259,0.16361870766794057,-0.010141434833681573,-0.9282437476774543,240,876,0.35328114615199924,0.7520666164552491
MS4A3,0.15211356772551596,0.14695634345801448,0.005157224267501481,0.5508927011896437,240,876,0.5817072311721602,0.8658751225432242
MS4A4A,0.19276914766363687,0.1668362174515266,0.025932930212110267,2.566870113304018,240,876,0.010262104395814169,0.2147745494586634
MS4A4E,0.4410060247862548,0.45659456836085954,-0.015588543574604763,-0.26875720344845916,14,41,0.7881165286482071,0.9416026056791769
MS4A5,0.025013640509007996,0.028419929246339945,-0.0034062887373319493,-0.2543389455101275,240,876,0.7992337146144706,0.9442924498409042
MS4A6A,0.10425609737954908,0.10953379743945596,-0.005277700059906881,-0.4114592863021089,240,876,0.6807357891865506,0.905500419789399
MS4A6E,0.21180801239392386,0.21232514271495517,-0.0005171303210313172,-0.06593825739586985,240,876,0.9474269818477801,0.9847860935788428
MS4A7,0.16104555661026543,0.15672198087743766,0.004323575732827767,0.3876873169717594,240,876,0.6982474427356431,0.9120158429099887
MS4A8,0.033783446413161985,0.02345588741174895,0.010327559001413036,0.8173345672778408,240,876,0.41373725759460755,0.7882020243877617
MSANTD1,0.22700656979898856,0.23015464454400764,-0.003148074745019075,-0.20763158433494297,240,876,0.8355166410287129,0.9549349325864877
MSANTD2,0.1321927206726798,0.11461696789894525,0.017575752773734535,1.363691443616816,240,876,0.17266469813469143,0.5961928657263601
MSANTD3,0.08123821957697273,0.08431616121728128,-0.003077941640308543,-0.34988465738294094,240,876,0.726425261803131,0.9217774516558952
MSANTD4,0.2639101959137241,0.24285676799691813,0.021053427916805978,2.59353900942269,240,876,0.00949937620657064,0.2079050692154022
MSANTD5,0.12327035646802903,0.07352953158322306,0.04974082488480597,0.8650649100555222,13,39,0.3870031629681109,0.7738803893390959
MSC,0.06452871861392023,0.07122089195992534,-0.006692173346005109,-0.5486101613936221,240,876,0.5832730109279034,0.8662596772724162
MSGN1,0.21621502896741449,0.21576307065571418,0.00045195831170030676,0.041712222175849745,240,876,0.9667281105547414,0.9905422714656086
MSH2,-0.08996400462293339,-0.07482227056202649,-0.015141734060906895,-1.4017083979753533,240,876,0.1610023418275619,0.5854870929969476
MSH3,0.12674153142859898,0.13846067308344656,-0.011719141654847581,-0.854484277845102,240,876,0.39283671705240564,0.7770458000350049
MSH4,0.09769327994604879,0.116683813187187,-0.01899053324113821,-2.12305376479426,240,876,0.033749346776267015,0.33235534605795003
MSH5,0.15310683180406065,0.15408583383308333,-0.0009790020290226797,-0.09858983797292298,240,876,0.9214639388328519,0.9781927301632056
MSH6,0.16903588870793476,0.1606624215775589,0.008373467130375872,0.8800211464291499,240,876,0.3788478540484347,0.7694142134103663
MSI1,0.02807701807732725,0.02341373972151846,0.004663278355808792,0.46287417359976535,240,876,0.6434545605218636,0.8905569462892052
