gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
HSPE1,-0.036819550059430065,-1.2554203630126446,0.20957881358235506,-3.6114953,-3.5762742,0.6414316166240341,118
EPHX1,-0.03681269038089975,-1.2551861540805416,0.2096637726688197,0.14702095,0.16012973,0.6414316166240341,118
TWIST2,-0.03681099138112774,-1.255128145424281,0.20968481911606818,0.21318497,0.21073318,0.6414316166240341,118
CRACR2B,-0.03681045405776194,-1.2551097996875207,0.2096914755549295,0.050204217,0.06328687,0.6414316166240341,118
RHOBTB2,-0.036793013214613424,-1.2545143206526517,0.20990761819975,0.112084165,0.11730378,0.6419092279357531,118
FARSB,-0.03677111531634766,-1.2537666669488527,0.2101792247088905,-2.4401896,-2.3727179,0.6420131234150851,118
ABHD14A,-0.0367610032170302,-1.2534214130323191,0.21030473395404498,0.17832278,0.19137625,0.6420131234150851,118
SGPP1,-0.03675535410737069,-1.2532285375990178,0.21037487309081507,-0.1534683,-0.13297732,0.6420131234150851,118
MRGPRE,-0.0367519449863221,-1.2531121413153152,0.21041720879029047,0.0775625,0.09859285,0.6420131234150851,118
PTGS1,-0.036747719567958165,-1.252967874573136,0.21046969010956607,0.21939659,0.23949142,0.6420131234150851,118
DCLK1,-0.03674767152831573,-1.2529662343755323,0.21047028683475658,0.047035057,0.05629338,0.6420131234150851,118
HMX3,-0.03674027928470775,-1.2527138441690804,0.21056212427643073,0.14829439,0.16189624,0.6420131234150851,118
SPRR4,-0.036730800180932,-1.2523902034913101,0.21067993016394773,0.1280055,0.13270289,0.6420131234150851,118
TAGLN,-0.03672589858724028,-1.2522228507664728,0.21074086563134023,0.081688605,0.103502415,0.6420131234150851,118
DHH,-0.0367229019431452,-1.2521205378519968,0.2107781254816981,0.030977942,0.045196984,0.6420131234150851,118
NPTXR,-0.036711598987450626,-1.2517346270162273,0.21091870766951407,0.15618874,0.16731462,0.6422173138060737,118
KDM4C,-0.036704368932835026,-1.2514877753392606,0.21100866805717558,0.13144878,0.15455785,0.6423310488263487,118
MRPL9,-0.03669598085644905,-1.2512013862247062,0.21111307192388892,-0.37293077,-0.34273547,0.6424924184302161,118
FOXP2,-0.036693183376933836,-1.2511058736005343,0.2111478996056642,0.12777059,0.1423732,0.6424928945143782,118
LRCH2,-0.03667816057060794,-1.250592959658639,0.21133499948038256,0.14141166,0.15628828,0.6425872536541433,118
PLEKHM1,-0.03667677263971487,-1.250545572476357,0.2113522913508177,-0.28190055,-0.24992047,0.6425872536541433,118
SULT2B1,-0.03666917711260603,-1.2502862436788538,0.21144694014373508,-0.093557745,-0.054798543,0.6427695616475647,118
MAP10,-0.03664057051725455,-1.2493095505438445,0.21180368510052608,-0.0471784,-0.034018375,0.643431817802926,118
ZFP36L1,-0.03662699185553443,-1.248845945744766,0.21197317280749772,-0.14532161,-0.09750842,0.6436301598059545,118
GAS6,-0.03661067297917865,-1.24828878502402,0.21217699311378624,0.06067024,0.07747218,0.6438270606503311,118
PPIG,-0.036593914155039126,-1.24771660460247,0.2123864554417484,0.124721535,0.12446962,0.6440662313980412,118
TRMT1L,-0.03658904237669012,-1.2475502723555456,0.21244737396902147,-0.008592145,0.0028524064,0.6440662313980412,118
GZMK,-0.036584897450753925,-1.2474087563724134,0.21249921358685964,0.08294173,0.095206514,0.6440662313980412,118
TBC1D20,-0.0365820409297965,-1.247311229125287,0.2125349447359931,0.036181267,0.045072816,0.6440662313980412,118
VPS26B,-0.03657930241237941,-1.2472177307800034,0.2125692038918192,0.13067336,0.14738591,0.6440662313980412,118
OR8B12,-0.03656557287025521,-1.2467489777603045,0.21274102202789213,0.0038397554,0.014547456,0.6442725738190667,118
GRIN2D,-0.03655977985669304,-1.246551193328452,0.21281354864173035,0.06862491,0.096872546,0.6442857191371547,118
KCTD5,-0.036558340241400984,-1.2465020421610198,0.21283157491483146,0.06228998,0.10076683,0.6442857191371547,118
HSPA2,-0.036555334498066826,-1.2463994204685227,0.21286921515128285,0.21796611,0.23253433,0.6442857191371547,118
TMED6,-0.036528663104674224,-1.2454888107564028,0.21320342520833113,0.10359854,0.10954087,0.6449351407991486,118
MYL6,-0.03651436824816193,-1.245000759542855,0.21338270475870427,-0.0070713083,0.02656565,0.6451578627009109,118
MYO1G,-0.03651405418870594,-1.2449900370164926,0.21338664476820846,0.033291917,0.04387946,0.6451578627009109,118
ELAVL2,-0.03650336644691505,-1.2446251394731171,0.21352075829392297,0.24635135,0.26446456,0.6451578627009109,118
CC2D1A,-0.03649715511105327,-1.244413074179879,0.21359872821630424,0.14403091,0.15348272,0.6452452663556195,118
SIK2,-0.03649078195990653,-1.2441954843949286,0.21367875070510117,0.14267881,0.1720483,0.6452452663556195,118
RET,-0.036475828667723385,-1.2436849551837683,0.2138665918662161,0.027019318,0.04129277,0.6454949460191614,118
BACE1,-0.03647506789421382,-1.2436589811868364,0.21387615177581623,0.02899519,0.06097025,0.6454949460191614,118
RDH16,-0.03646919904012927,-1.2434586094063977,0.2139499103739135,0.07258774,0.07746013,0.6456124066339344,118
CLN3,-0.03646015334450549,-1.2431497755811536,0.21406363077494023,0.0895764,0.104983136,0.6458503975725199,118
NFE2,-0.03645586704594708,-1.2430034349271597,0.21411753233459746,-0.02833895,-0.011602832,0.6459078612554819,118
H2BC4,-0.03644617803629392,-1.2426726378758342,0.21423941071997896,-1.0365132,-0.9856523,0.6459690884843428,118
HOXB13,-0.03644500169773175,-1.2426324759696963,0.2142542113239426,0.15938784,0.18270749,0.6459690884843428,118
PUM2,-0.036443169575390955,-1.2425699246636925,0.21427726441709866,-0.055325147,-0.032276306,0.6459690884843428,118
ACTBL2,-0.036435057033704796,-1.2422929509103753,0.21437936377352004,0.15457626,0.17080851,0.6460173636684732,118
DMRT2,-0.03641441211401653,-1.2415881049920021,0.2146393457800142,0.44841588,0.46123442,0.6462196127781386,118
DUSP13B,-0.0363930178532207,-1.2408576772182967,0.21490900368682045,0.030750832,0.039854802,0.6468213005230583,118
CD226,-0.036365253955063986,-1.2399097843219684,0.21525930933890502,0.33448717,0.33254224,0.6475601073635144,118
MMGT1,-0.03634677079828699,-1.2392787486996637,0.21549274472633462,-0.283459,-0.280102,0.6479713247791005,118
PIGW,-0.03632977869935538,-1.2386986205815913,0.21570750923692586,-0.108314686,-0.063015096,0.6483172499963684,118
HTR3E,-0.036317701694612785,-1.238286299599487,0.21586024504616122,0.14507188,0.1680101,0.6485200011112894,118
KTI12,-0.03631095255040538,-1.2380558773243155,0.21594563418792528,-0.89813244,-0.86521083,0.6485200011112894,118
KLHL14,-0.03630944487048862,-1.2380044037049165,0.2159647124428502,0.17411593,0.18398227,0.6485200011112894,118
NGRN,-0.03630315109511099,-1.2377895283477907,0.21604436727369758,-0.14281625,-0.1376367,0.6485200011112894,118
SCO1,-0.03629635999610141,-1.2375576740637915,0.21613033999047754,-0.14867033,-0.12783581,0.6485200011112894,118
MSRB2,-0.03629610056917627,-1.237548816996508,0.21613362472390077,0.20117477,0.20164114,0.6485200011112894,118
KLK8,-0.03629536433541851,-1.2375236813188157,0.21614294674143197,0.1707693,0.19349517,0.6485200011112894,118
LAMA3,-0.03629296459417514,-1.2374417520246335,0.21617333370376313,0.100693576,0.14222918,0.6485200011112894,118
JCAD,-0.036275286491740485,-1.236838206590726,0.2163972790977547,0.08832189,0.104840636,0.6488568493596713,118
ZSCAN22,-0.03625829216631583,-1.23625800698085,0.21661271961354778,0.12049744,0.13942342,0.648997624439556,118
SAMHD1,-0.03625507569143809,-1.2361481941245998,0.21665351286285675,-0.07416462,-0.05820401,0.6490149121987712,118
ZNF350,-0.036246255237607466,-1.2358470574359774,0.2167654074397213,0.14414479,0.1668547,0.6491402335593852,118
PNMA8B,-0.03622456119342225,-1.235106408269522,0.21704079057078685,0.09854509,0.12276152,0.6497232289104587,118
TMEM132A,-0.036196987284992495,-1.2341650191316251,0.21739117506726355,0.10078918,0.11773122,0.6504358469093194,118
COX7B,-0.036196646108163574,-1.2341533711755834,0.21739551297944693,-0.62381214,-0.57861704,0.6504358469093194,118
BOLA1,-0.03619561315479439,-1.2341181056079404,0.217408646902829,-0.047762696,-0.038348086,0.6504358469093194,118
GGA2,-0.03618334862592512,-1.23369938848797,0.2175646330086377,0.18900335,0.19680369,0.6506560420977661,118
DGKD,-0.036181544730588856,-1.2336378026504353,0.21758758258485006,0.07611188,0.08462398,0.6506560420977661,118
RCHY1,-0.0361674795641279,-1.2331576116480938,0.2177665825279299,0.1361189,0.16915716,0.650981213231984,118
FREM1,-0.036158465985934606,-1.232849884488745,0.21788134915029742,0.19556288,0.2038116,0.6510220504393894,118
AHR,-0.036158129216982714,-1.232838387068068,0.21788563794857768,0.15147947,0.16957016,0.6510220504393894,118
ANOS1,-0.036150054919762836,-1.2325627276021824,0.2179884833658812,0.31446293,0.32785213,0.6510306823248286,118
BRWD3,-0.03614962794926944,-1.2325481506798048,0.21799392282259789,0.17758903,0.20686899,0.6510306823248286,118
PTPRR,-0.0361420775763025,-1.2322903784105395,0.21809012806455283,0.111642875,0.12467144,0.6511670498367225,118
STAC,-0.03613777197826458,-1.2321433839418792,0.2181450027190315,0.19881856,0.21514267,0.6511670498367225,118
SBK1,-0.03611644778836751,-1.2314153704171409,0.21841692465307808,-0.096798696,-0.06497774,0.6516252791865799,118
BCAP31,-0.0361118699889296,-1.2312590833442418,0.21847533156279356,-0.1347286,-0.09281243,0.6516252791865799,118
